[17-Dec-2014 14:09:38 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/template.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 14:09:38 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 18
[17-Dec-2014 14:09:38 UTC] PHP Fatal error:  Class 'registry' not found in /home/ubuntu/workspace/includes/init.php on line 28
[17-Dec-2014 14:09:39 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(__SITE_PATH/application/controller_base.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/controller_base.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 14:09:39 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(__SITE_PATH/application/registry.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/registry.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 14:09:39 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(__SITE_PATH/application/router.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/router.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 14:09:39 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(__SITE_PATH/application/template.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 14:09:39 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/template.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 14:09:39 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 18
[17-Dec-2014 14:09:39 UTC] PHP Fatal error:  Class 'registry' not found in /home/ubuntu/workspace/includes/init.php on line 28
[17-Dec-2014 14:09:58 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 28
[17-Dec-2014 14:09:58 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 28
[17-Dec-2014 14:10:31 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 28
[17-Dec-2014 14:10:31 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 28
[17-Dec-2014 14:11:01 UTC] PHP Warning:  include(incudes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:11:01 UTC] PHP Warning:  include(): Failed opening 'incudes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:11:02 UTC] PHP Warning:  include(incudes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:11:02 UTC] PHP Warning:  include(): Failed opening 'incudes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:11:02 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:11:02 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:15:30 UTC] PHP Warning:  include(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:30 UTC] PHP Warning:  include(): Failed opening 'model/user.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:31 UTC] PHP Warning:  include(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:31 UTC] PHP Warning:  include(): Failed opening 'model/user.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:31 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:15:31 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:15:42 UTC] PHP Warning:  include(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:42 UTC] PHP Warning:  include(): Failed opening 'model/user.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:44 UTC] PHP Warning:  include(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:44 UTC] PHP Warning:  include(): Failed opening 'model/user.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:15:44 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:15:44 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:17:00 UTC] PHP Warning:  require(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:17:00 UTC] PHP Fatal error:  require(): Failed opening required 'model/user.class.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:17:01 UTC] PHP Warning:  require(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:17:01 UTC] PHP Fatal error:  require(): Failed opening required 'model/user.class.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:17:05 UTC] PHP Warning:  require(model/user.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:17:05 UTC] PHP Fatal error:  require(): Failed opening required 'model/user.class.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 14:17:26 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:17:26 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 14:19:09 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 29
